hhID,indivID,age,gender,hhRel,hhType
1,85,28,1,Married,HF1
1,103,27,0,Married,HF1
2,94,29,1,Married,HF1
2,102,28,0,Married,HF1
3,95,31,1,Married,HF1
3,96,28,0,Married,HF1
4,22,20,1,Married,HF1
4,25,18,0,Married,HF1
5,86,30,1,Married,HF1
5,101,26,0,Married,HF1
6,91,31,1,Married,HF1
6,99,26,0,Married,HF1
7,213,53,1,Married,HF1
7,221,51,0,Married,HF1
8,93,30,1,Married,HF1
8,98,29,0,Married,HF1
9,211,53,1,Married,HF1
9,227,51,0,Married,HF1
10,273,58,1,Married,HF1
10,222,52,0,Married,HF1
11,215,49,1,Married,HF1
11,229,48,0,Married,HF1
12,209,49,1,Married,HF1
12,228,48,0,Married,HF1
13,279,57,1,Married,HF1
13,291,55,0,Married,HF1
14,272,56,1,Married,HF1
14,297,56,0,Married,HF1
15,287,57,1,Married,HF1
15,230,53,0,Married,HF1
17,269,57,1,Married,HF1
17,292,55,0,Married,HF1
16,277,58,1,Married,HF1
16,293,55,0,Married,HF1
19,281,59,1,Married,HF1
19,300,55,0,Married,HF1
18,274,60,1,Married,HF1
18,288,60,0,Married,HF1
18,111,31,1,Relative,HF1
21,271,60,1,Married,HF1
21,295,60,0,Married,HF1
20,280,58,1,Married,HF1
20,225,53,0,Married,HF1
23,278,61,1,Married,HF1
23,294,61,0,Married,HF1
22,283,63,1,Married,HF1
22,299,61,0,Married,HF1
25,332,67,1,Married,HF1
25,342,65,0,Married,HF1
24,282,63,1,Married,HF1
24,298,59,0,Married,HF1
27,286,63,1,Married,HF1
27,290,62,0,Married,HF1
26,329,69,1,Married,HF1
26,341,67,0,Married,HF1
29,276,62,1,Married,HF1
29,296,62,0,Married,HF1
28,284,62,1,Married,HF1
28,301,62,0,Married,HF1
31,285,58,1,Married,HF1
31,302,55,0,Married,HF1
30,270,63,1,Married,HF1
30,289,63,0,Married,HF1
34,334,70,1,Married,HF1
34,339,68,0,Married,HF1
35,369,77,1,Married,HF1
35,340,73,0,Married,HF1
32,336,68,1,Married,HF1
32,346,65,0,Married,HF1
32,240,51,1,Relative,HF1
32,244,49,0,Relative,HF1
33,335,70,1,Married,HF1
33,343,70,0,Married,HF1
38,331,72,1,Married,HF1
38,337,70,0,Married,HF1
39,330,70,1,Married,HF1
39,345,67,0,Married,HF1
36,368,76,1,Married,HF1
36,338,73,0,Married,HF1
37,333,68,1,Married,HF1
37,344,70,0,Married,HF1
42,367,83,1,Married,HF1
42,373,81,0,Married,HF1
43,371,78,1,Married,HF1
43,375,75,0,Married,HF1
40,370,78,1,Married,HF1
40,372,81,0,Married,HF1
41,84,26,1,Married,HF1
41,27,18,0,Married,HF1
46,89,26,1,Married,HF1
46,29,18,0,Married,HF1
47,87,28,1,Married,HF1
47,28,18,0,Married,HF1
44,90,33,1,Married,HF1
44,165,39,0,Married,HF1
45,366,75,1,Married,HF1
45,374,81,0,Married,HF1
51,83,32,1,Married,HF1
51,167,40,0,Married,HF1
50,88,28,1,Married,HF1
50,164,40,0,Married,HF1
49,328,72,1,Married,HF1
49,235,49,0,Married,HF1
59,92,33,1,Married,HF3
59,97,31,0,Married,HF3
59,1,2,1,U15Child,HF3
59,390,15,0,Student,HF3
58,156,39,1,Married,HF3
58,170,37,0,Married,HF3
58,8,2,1,U15Child,HF3
58,388,19,0,Student,HF3
57,157,39,1,Married,HF3
57,169,36,0,Married,HF3
57,2,2,1,U15Child,HF3
57,389,19,0,Student,HF3
63,158,35,1,Married,HF4
63,162,35,0,Married,HF4
63,19,1,0,U15Child,HF4
63,43,15,0,O15Child,HF4
62,160,43,1,Married,HF4
62,161,40,0,Married,HF4
62,12,9,0,U15Child,HF4
62,42,18,0,O15Child,HF4
61,200,45,1,Married,HF4
61,171,39,0,Married,HF4
61,16,2,0,U15Child,HF4
61,44,16,0,O15Child,HF4
60,210,46,1,Married,HF3
60,233,45,0,Married,HF3
60,3,6,1,U15Child,HF3
60,30,15,1,Student,HF3
68,205,48,1,Married,HF6
68,220,47,0,Married,HF6
68,32,23,1,Student,HF6
68,40,20,1,O15Child,HF6
69,159,39,1,Married,HF6
69,163,37,0,Married,HF6
69,387,17,0,Student,HF6
69,41,17,1,O15Child,HF6
70,204,47,1,Married,HF6
70,224,45,0,Married,HF6
70,31,18,1,Student,HF6
70,38,20,1,O15Child,HF6
71,203,45,1,Married,HF7
71,168,42,0,Married,HF7
71,33,17,0,Student,HF7
64,20,23,1,Married,HF5
64,26,19,0,Married,HF5
64,17,1,0,U15Child,HF5
64,13,0,0,U15Child,HF5
64,242,47,1,Relative,HF5
64,110,26,1,Relative,HF5
65,21,21,1,Married,HF5
65,23,18,0,Married,HF5
65,6,0,1,U15Child,HF5
65,18,0,0,U15Child,HF5
65,241,46,1,Relative,HF5
66,81,27,1,Married,HF5
66,100,26,0,Married,HF5
66,10,0,1,U15Child,HF5
66,112,28,1,Relative,HF5
67,82,27,1,Married,HF5
67,24,22,0,Married,HF5
67,9,0,1,U15Child,HF5
76,206,51,1,Married,HF8
