hhID,indivID,age,gender,hhRel,hhType
1,327,51,1,Married,HF1
1,349,47,0,Married,HF1
2,175,30,1,Married,HF1
2,179,30,0,Married,HF1
3,172,33,1,Married,HF1
3,183,30,0,Married,HF1
4,324,51,1,Married,HF1
4,335,47,0,Married,HF1
4,420,55,0,Relative,HF1
5,166,30,1,Married,HF1
5,181,30,0,Married,HF1
6,331,49,1,Married,HF1
6,340,48,0,Married,HF1
7,333,46,1,Married,HF1
7,337,46,0,Married,HF1
8,329,51,1,Married,HF1
8,342,49,0,Married,HF1
9,156,28,1,Married,HF1
9,40,22,0,Married,HF1
10,321,45,1,Married,HF1
10,288,40,0,Married,HF1
11,323,52,1,Married,HF1
11,347,51,0,Married,HF1
12,328,52,1,Married,HF1
12,351,50,0,Married,HF1
13,326,53,1,Married,HF1
13,350,50,0,Married,HF1
14,380,55,1,Married,HF1
14,343,52,0,Married,HF1
15,394,55,1,Married,HF1
15,345,51,0,Married,HF1
17,391,55,1,Married,HF1
17,348,53,0,Married,HF1
16,330,46,1,Married,HF1
16,336,46,0,Married,HF1
19,398,58,1,Married,HF1
19,409,55,0,Married,HF1
18,382,56,1,Married,HF1
18,338,52,0,Married,HF1
21,383,59,1,Married,HF1
21,413,55,0,Married,HF1
20,384,58,1,Married,HF1
20,418,55,0,Married,HF1
23,388,58,1,Married,HF1
23,411,56,0,Married,HF1
22,395,56,1,Married,HF1
22,415,56,0,Married,HF1
25,399,61,1,Married,HF1
25,408,57,0,Married,HF1
24,397,60,1,Married,HF1
24,405,57,0,Married,HF1
27,393,59,1,Married,HF1
27,410,58,0,Married,HF1
26,385,59,1,Married,HF1
26,416,57,0,Married,HF1
29,389,61,1,Married,HF1
29,412,61,0,Married,HF1
29,71,17,1,Relative,HF1
29,199,29,1,Relative,HF1
28,445,65,1,Married,HF1
28,406,60,0,Married,HF1
31,381,62,1,Married,HF1
31,407,61,0,Married,HF1
30,402,62,1,Married,HF1
30,419,62,0,Married,HF1
34,435,65,1,Married,HF1
34,404,60,0,Married,HF1
35,439,65,1,Married,HF1
35,456,65,0,Married,HF1
32,441,69,1,Married,HF1
32,457,70,0,Married,HF1
33,442,66,1,Married,HF1
33,455,65,0,Married,HF1
38,447,70,1,Married,HF1
38,453,65,0,Married,HF1
39,444,69,1,Married,HF1
39,459,68,0,Married,HF1
36,443,71,1,Married,HF1
36,461,69,0,Married,HF1
37,446,71,1,Married,HF1
37,458,66,0,Married,HF1
42,450,70,1,Married,HF1
42,452,66,0,Married,HF1
43,274,43,1,Married,HF1
43,292,37,0,Married,HF1
40,440,73,1,Married,HF1
40,460,69,0,Married,HF1
41,436,69,1,Married,HF1
41,451,70,0,Married,HF1
46,482,83,1,Married,HF1
46,488,79,0,Married,HF1
47,437,71,1,Married,HF1
47,454,71,0,Married,HF1
44,483,78,1,Married,HF1
44,489,76,0,Married,HF1
45,396,56,1,Married,HF1
45,346,49,0,Married,HF1
51,486,79,1,Married,HF1
51,490,78,0,Married,HF1
50,484,77,1,Married,HF1
50,493,77,0,Married,HF1
49,403,62,1,Married,HF1
49,414,59,0,Married,HF1
48,400,62,1,Married,HF1
48,417,59,0,Married,HF1
55,387,56,1,Married,HF1
55,344,49,0,Married,HF1
54,479,76,1,Married,HF1
54,491,77,0,Married,HF1
54,201,28,1,Relative,HF1
54,202,30,1,Relative,HF1
53,390,56,1,Married,HF1
53,352,49,0,Married,HF1
52,168,31,1,Married,HF1
52,298,35,0,Married,HF1
59,161,27,1,Married,HF1
59,47,18,0,Married,HF1
58,401,57,1,Married,HF1
58,334,48,0,Married,HF1
57,485,76,1,Married,HF1
57,487,81,0,Married,HF1
56,158,28,1,Married,HF1
56,45,18,0,Married,HF1
63,481,76,1,Married,HF1
63,492,83,0,Married,HF1
62,159,28,1,Married,HF1
62,295,37,0,Married,HF1
61,169,28,1,Married,HF1
61,297,37,0,Married,HF1
60,167,28,1,Married,HF1
60,299,37,0,Married,HF1
68,480,76,1,Married,HF1
68,505,87,0,Married,HF1
69,449,72,1,Married,HF1
69,507,93,0,Married,HF1
70,438,71,1,Married,HF1
70,506,95,0,Married,HF1
71,386,62,1,Married,HF1
71,448,66,1,Married,HF1
71,209,27,0,Relative,HF1
64,511,37,0,Married,HF1
64,392,57,1,Married,HF1
76,268,35,1,Married,HF3
76,191,33,0,Married,HF3
76,1,11,1,U15Child,HF3
76,513,15,0,Student,HF3
76,9,0,1,U15Child,HF3
77,277,37,1,Married,HF3
77,284,35,0,Married,HF3
77,2,12,1,U15Child,HF3
77,48,15,0,Student,HF3
78,283,37,1,Married,HF3
78,185,32,0,Married,HF3
78,7,9,1,U15Child,HF3
78,514,16,0,Student,HF3
79,275,36,1,Married,HF4
79,176,33,0,Married,HF4
79,33,7,0,U15Child,HF4
79,57,17,1,O15Child,HF4
74,276,38,1,Married,HF3
74,180,33,0,Married,HF3
74,19,8,0,U15Child,HF3
74,512,16,0,Student,HF3
75,281,38,1,Married,HF3
75,289,35,0,Married,HF3
75,34,8,0,U15Child,HF3
75,53,15,0,Student,HF3
85,35,21,1,Married,HF5
85,38,18,0,Married,HF5
85,12,2,1,U15Child,HF5
