hhID,indivID,age,gender,hhRel,hhType
1,137,29,1,Married,HF1
1,153,28,0,Married,HF1
2,143,25,1,Married,HF1
2,31,21,0,Married,HF1
3,146,30,1,Married,HF1
3,159,29,0,Married,HF1
4,150,31,1,Married,HF1
4,156,30,0,Married,HF1
5,144,25,1,Married,HF1
5,35,22,0,Married,HF1
6,289,59,1,Married,HF1
6,296,57,0,Married,HF1
7,257,53,1,Married,HF1
7,263,52,0,Married,HF1
8,139,29,1,Married,HF1
8,154,26,0,Married,HF1
9,142,29,1,Married,HF1
9,33,22,0,Married,HF1
10,258,45,1,Married,HF1
10,223,37,0,Married,HF1
11,214,41,1,Married,HF1
11,227,36,0,Married,HF1
12,21,18,1,Married,HF1
12,26,18,0,Married,HF1
13,141,33,1,Married,HF1
13,151,30,0,Married,HF1
14,288,62,1,Married,HF1
14,295,60,0,Married,HF1
15,286,63,1,Married,HF1
15,291,61,0,Married,HF1
17,310,68,1,Married,HF1
17,313,65,0,Married,HF1
16,255,46,1,Married,HF1
16,221,42,0,Married,HF1
16,175,32,1,Relative,HF1
16,71,21,0,Relative,HF1
19,20,18,1,Married,HF1
19,30,18,0,Married,HF1
18,287,55,1,Married,HF1
18,261,50,0,Married,HF1
21,23,18,1,Married,HF1
21,34,18,0,Married,HF1
20,22,18,1,Married,HF1
20,32,18,0,Married,HF1
23,253,48,1,Married,HF1
23,262,49,0,Married,HF1
22,290,58,1,Married,HF1
22,294,58,0,Married,HF1
25,312,71,1,Married,HF1
25,315,72,0,Married,HF1
24,25,18,1,Married,HF1
24,29,20,0,Married,HF1
27,259,48,1,Married,HF1
27,225,42,0,Married,HF1
26,311,67,1,Married,HF1
26,297,63,0,Married,HF1
29,332,76,1,Married,HF1
29,314,71,0,Married,HF1
29,66,19,1,Relative,HF1
28,24,18,1,Married,HF1
28,28,20,0,Married,HF1
31,256,48,1,Married,HF1
31,264,50,0,Married,HF1
30,334,77,1,Married,HF1
30,292,62,0,Married,HF1
34,333,77,1,Married,HF1
34,293,62,0,Married,HF1
35,331,77,1,Married,HF1
35,298,58,0,Married,HF1
35,169,26,1,Relative,HF1
35,177,33,0,Relative,HF1
32,145,33,1,Married,HF1
32,211,40,1,Married,HF1
33,347,62,0,Married,HF1
33,335,83,1,Married,HF1
38,218,39,1,Married,HF3
38,152,33,0,Married,HF3
38,15,10,0,U15Child,HF3
38,36,15,1,Student,HF3
38,4,0,1,U15Child,HF3
38,5,3,1,U15Child,HF3
38,9,11,1,U15Child,HF3
38,74,15,0,Relative,HF3
38,72,17,0,Relative,HF3
38,176,30,0,Relative,HF3
39,140,27,1,Married,HF5
39,157,25,0,Married,HF5
39,11,1,0,U15Child,HF5
39,6,3,1,U15Child,HF5
36,138,33,1,Married,HF3
36,158,32,0,Married,HF3
36,14,9,0,U15Child,HF3
36,53,16,0,Student,HF3
36,2,6,1,U15Child,HF3
37,216,37,1,Married,HF3
37,229,35,0,Married,HF3
37,16,12,0,U15Child,HF3
37,40,17,1,Student,HF3
42,148,32,1,Married,HF7
42,160,32,0,Married,HF7
42,38,16,1,Student,HF7
42,42,15,0,Student,HF7
43,217,35,1,Married,HF7
43,228,35,0,Married,HF7
43,47,17,0,Student,HF7
43,44,15,0,Student,HF7
40,149,27,1,Married,HF5
40,27,21,0,Married,HF5
40,1,5,1,U15Child,HF5
40,7,3,1,U15Child,HF5
40,178,33,0,Relative,HF5
41,147,28,1,Married,HF5
41,155,27,0,Married,HF5
41,18,2,0,U15Child,HF5
41,3,9,1,U15Child,HF5
41,69,15,0,Relative,HF5
41,70,21,0,Relative,HF5
46,210,35,1,Married,HF7
46,224,35,0,Married,HF7
