hhID,indivID,age,gender,hhRel,hhType
1,442,56,1,Married,HF1
1,408,52,0,Married,HF1
2,447,56,1,Married,HF1
2,476,56,0,Married,HF1
3,432,56,1,Married,HF1
3,469,56,0,Married,HF1
4,465,57,1,Married,HF1
4,474,55,0,Married,HF1
5,440,58,1,Married,HF1
5,489,56,0,Married,HF1
6,462,57,1,Married,HF1
6,486,56,0,Married,HF1
7,464,56,1,Married,HF1
7,397,53,0,Married,HF1
8,443,59,1,Married,HF1
8,477,57,0,Married,HF1
9,455,56,1,Married,HF1
9,402,52,0,Married,HF1
10,441,58,1,Married,HF1
10,468,57,0,Married,HF1
11,445,58,1,Married,HF1
11,484,57,0,Married,HF1
12,436,60,1,Married,HF1
12,472,58,0,Married,HF1
13,446,59,1,Married,HF1
13,470,58,0,Married,HF1
14,434,61,1,Married,HF1
14,467,58,0,Married,HF1
15,433,59,1,Married,HF1
15,485,58,0,Married,HF1
17,439,60,1,Married,HF1
17,466,59,0,Married,HF1
16,435,62,1,Married,HF1
16,490,59,0,Married,HF1
19,459,61,1,Married,HF1
19,480,59,0,Married,HF1
18,450,62,1,Married,HF1
18,492,60,0,Married,HF1
21,437,63,1,Married,HF1
21,491,60,0,Married,HF1
20,449,62,1,Married,HF1
20,487,60,0,Married,HF1
23,460,63,1,Married,HF1
23,479,61,0,Married,HF1
22,508,65,1,Married,HF1
22,478,63,0,Married,HF1
25,454,57,1,Married,HF1
25,416,51,0,Married,HF1
24,506,67,1,Married,HF1
24,510,65,0,Married,HF1
27,453,57,1,Married,HF1
27,396,53,0,Married,HF1
26,504,66,1,Married,HF1
26,471,62,0,Married,HF1
29,505,72,1,Married,HF1
29,511,71,0,Married,HF1
28,507,72,1,Married,HF1
28,512,72,0,Married,HF1
31,438,58,1,Married,HF1
31,389,53,0,Married,HF1
30,270,40,1,Married,HF1
30,312,41,0,Married,HF1
34,500,72,1,Married,HF1
34,509,70,0,Married,HF1
35,501,66,1,Married,HF1
35,488,62,0,Married,HF1
32,463,58,1,Married,HF1
32,388,53,0,Married,HF1
33,461,60,1,Married,HF1
33,475,61,0,Married,HF1
38,458,60,1,Married,HF1
38,473,61,0,Married,HF1
39,456,60,1,Married,HF1
39,483,61,0,Married,HF1
36,452,58,1,Married,HF1
36,386,52,0,Married,HF1
37,457,59,1,Married,HF1
37,390,52,0,Married,HF1
42,127,18,1,Married,HF1
42,132,20,0,Married,HF1
43,380,49,1,Married,HF1
43,419,52,0,Married,HF1
40,376,49,1,Married,HF1
40,422,52,0,Married,HF1
41,451,59,1,Married,HF1
41,481,62,0,Married,HF1
41,527,81,0,Relative,HF1
46,503,69,1,Married,HF1
46,482,62,0,Married,HF1
47,126,18,1,Married,HF1
47,133,23,0,Married,HF1
44,356,49,1,Married,HF1
44,234,31,0,Married,HF1
45,502,73,1,Married,HF1
45,523,79,0,Married,HF1
51,499,73,1,Married,HF1
51,522,82,0,Married,HF1
50,125,18,1,Married,HF1
50,225,28,0,Married,HF1
49,365,49,1,Married,HF1
49,231,31,0,Married,HF1
48,366,49,1,Married,HF1
48,233,29,0,Married,HF1
55,276,42,1,Married,HF3
55,310,40,0,Married,HF3
55,95,10,0,U15Child,HF3
55,138,19,1,Student,HF3
55,157,15,0,Student,HF3
54,360,49,1,Married,HF1
