hhID,indivID,age,gender,hhRel,hhType
1,353,56,1,Married,HF1
1,320,52,0,Married,HF1
2,357,58,1,Married,HF1
2,388,56,0,Married,HF1
3,369,59,1,Married,HF1
3,396,57,0,Married,HF1
4,363,56,1,Married,HF1
4,317,53,0,Married,HF1
5,237,36,1,Married,HF1
5,167,30,0,Married,HF1
6,370,59,1,Married,HF1
6,382,59,0,Married,HF1
7,376,59,1,Married,HF1
7,385,59,0,Married,HF1
8,362,61,1,Married,HF1
8,390,59,0,Married,HF1
9,359,58,1,Married,HF1
9,324,53,0,Married,HF1
10,438,65,1,Married,HF1
10,378,61,0,Married,HF1
11,354,58,1,Married,HF1
11,389,57,0,Married,HF1
12,356,60,1,Married,HF1
12,383,60,0,Married,HF1
13,355,58,1,Married,HF1
13,377,60,0,Married,HF1
14,375,62,1,Married,HF1
14,381,62,0,Married,HF1
15,368,63,1,Married,HF1
15,395,60,0,Married,HF1
17,439,65,1,Married,HF1
17,392,61,0,Married,HF1
16,430,65,1,Married,HF1
16,384,62,0,Married,HF1
19,422,67,1,Married,HF1
19,379,63,0,Married,HF1
18,431,68,1,Married,HF1
18,445,68,0,Married,HF1
21,364,62,1,Married,HF1
21,391,61,0,Married,HF1
20,423,68,1,Married,HF1
20,454,68,0,Married,HF1
23,440,69,1,Married,HF1
23,460,65,0,Married,HF1
22,427,70,1,Married,HF1
22,449,67,0,Married,HF1
25,426,70,1,Married,HF1
25,447,70,0,Married,HF1
24,441,71,1,Married,HF1
24,443,66,0,Married,HF1
27,432,71,1,Married,HF1
27,450,70,0,Married,HF1
26,436,71,1,Married,HF1
26,444,66,0,Married,HF1
29,476,78,1,Married,HF1
29,478,75,0,Married,HF1
28,425,71,1,Married,HF1
28,442,71,0,Married,HF1
31,434,73,1,Married,HF1
31,452,71,0,Married,HF1
30,433,72,1,Married,HF1
30,451,71,0,Married,HF1
34,437,73,1,Married,HF1
34,459,72,0,Married,HF1
35,429,71,1,Married,HF1
35,446,66,0,Married,HF1
32,474,78,1,Married,HF1
32,458,73,0,Married,HF1
33,475,82,1,Married,HF1
33,479,82,0,Married,HF1
38,473,78,1,Married,HF1
38,457,73,0,Married,HF1
39,472,82,1,Married,HF1
39,477,82,0,Married,HF1
36,366,62,1,Married,HF1
36,394,63,0,Married,HF1
37,435,72,1,Married,HF1
37,456,73,0,Married,HF1
42,424,72,1,Married,HF1
42,455,73,0,Married,HF1
43,231,36,1,Married,HF1
43,177,30,0,Married,HF1
40,365,58,1,Married,HF1
40,331,52,0,Married,HF1
41,428,72,1,Married,HF1
41,453,66,0,Married,HF1
46,150,25,1,Married,HF1
46,164,28,0,Married,HF1
47,230,36,1,Married,HF1
47,175,29,0,Married,HF1
44,240,36,1,Married,HF1
44,173,29,0,Married,HF1
45,471,81,1,Married,HF1
45,493,88,0,Married,HF1
51,367,58,1,Married,HF1
51,448,66,0,Married,HF1
50,296,47,1,Married,HF1
50,162,29,0,Married,HF1
49,300,47,1,Married,HF1
49,90,18,0,Married,HF1
48,360,58,1,Married,HF1
48,495,93,0,Married,HF1
55,297,46,1,Married,HF3
55,266,39,0,Married,HF3
55,2,12,1,U15Child,HF3
55,109,22,0,Student,HF3
55,75,7,0,U15Child,HF3
55,111,16,0,Student,HF3
55,7,6,1,U15Child,HF3
54,219,42,1,Married,HF3
54,264,39,0,Married,HF3
54,10,12,1,U15Child,HF3
54,107,22,0,Student,HF3
54,108,16,0,Student,HF3
53,302,47,1,Married,HF1
53,494,93,0,Married,HF1
59,227,38,1,Married,HF3
59,263,37,0,Married,HF3
59,8,11,1,U15Child,HF3
59,105,20,0,Student,HF3
